kota_id,nama_kota,latitude,longitude
3101,Kabupaten Kepulauan Seribu,-5.7985266,106.5071982
3174,Kota Jakarta Selatan,-6.332973,106.807915
3175,Kota Jakarta Timur,-6.211544,106.845172
3171,Kota Jakarta Pusat,-6.211544,106.845172
3173,Kota Jakarta Barat,-6.211544,106.845172
3172,Kota Jakarta Utara,-6.211544,106.845172
3201,Kabupaten Bogor,-6.6,106.8
3202,Kabupaten Sukabumi,-6.92405,106.922203
3203,Kabupaten Cianjur,-6.8172531,107.1307289
3204,Kabupaten Bandung,-6.9147444,107.6098111
3205,Kabupaten Garut,-7.227906,107.908699
3206,Kabupaten Tasikmalaya,-7.327954,108.214104
3207,Kabupaten Ciamis,-7.3333333,108.35
3208,Kabupaten Kuningan,-6.9833333,108.4833333
3209,Kabupaten Cirebon,-6.715534,108.564003
3210,Kabupaten Majalengka,-6.8531026,108.2258897
3211,Kabupaten Sumedang,0.6095949,110.0330554
3212,Kabupaten Indramayu,-6.336315,108.325104
3213,Kabupaten Subang,-6.569361,107.752403
3214,Kabupaten Purwakarta,-6.5386806,107.4499404
3215,Kabupaten Karawang,-6.3227303,107.3375791
3216,Kabupaten Bekasi,-6.2333333,107
3217,Kabupaten Bandung Barat,-6.8937121,107.4321959
3271,Kota Bogor,-6.6,106.8
3272,Kota Sukabumi,-6.92405,106.922203
3273,Kota Bandung,-6.9147444,107.6098111
3274,Kota Cirebon,-6.715534,108.564003
3275,Kota Bekasi,-6.2333333,107
3276,Kota Depok,-6.39,106.83
3277,Kota Cimahi,-6.880239,107.5355
3278,Kota Tasikmalaya,-7.327954,108.214104
3279,Kota Banjar,-7.3666667,108.5333333
3301,Kabupaten Cilacap,-7.733333,109
3302,Kabupaten Banyumas,-7.4832133,109.140438
3303,Kabupaten Purbalingga,-7.390747,109.3638
3304,Kabupaten Banjarnegara,-7.402706,109.681396
3305,Kabupaten Kebumen,-7.678682,109.656502
3306,Kabupaten Purworejo,-7.709731,110.008003
3307,Kabupaten Wonosobo,-7.362109,109.899399
3308,Kabupaten Magelang,-7.481253,110.213799
3309,Kabupaten Boyolali,-7.523819,110.595901
3310,Kabupaten Klaten,-7.711687,110.595497
3311,Kabupaten Sukoharjo,-7.6808818,110.8195292
3312,Kabupaten Wonogiri,-7.817782,110.920601
3313,Kabupaten Karanganyar,-7.5961111,110.9508333
3314,Kabupaten Sragen,-7.430229,111.021301
3315,Kabupaten Grobogan,-7.0217194,110.9625854
3316,Kabupaten Blora,-6.95,111.4166667
3317,Kabupaten Rembang,-6.71124,111.345299
3318,Kabupaten Pati,-6.751338,111.038002
3319,Kabupaten Kudus,-6.804087,110.838203
3320,Kabupaten Jepara,-6.5596059,110.6717
3321,Kabupaten Demak,-6.888115,110.639297
3322,Kabupaten Semarang,-6.9666667,110.4166667
3323,Kabupaten Temanggung,-7.316669,110.174797
3324,Kabupaten Kendal,-6.919686,110.205597
3325,Kabupaten Batang,-6.8941111,109.7234519
3326,Kabupaten Pekalongan,-6.882887,109.669998
3327,Kabupaten Pemalang,-6.884234,109.377998
3328,Kabupaten Tegal,-6.8666667,109.1333333
3329,Kabupaten Brebes,-6.8833333,109.05
3371,Kota Magelang,-7.481253,110.213799
3372,Kota Surakarta,-7.5666667,110.8166667
3373,Kota Salatiga,-7.302328,110.4729
3374,Kota Semarang,-6.9666667,110.4166667
3375,Kota Pekalongan,-6.882887,109.669998
3376,Kota Tegal,-6.8666667,109.1333333
3401,Kabupaten Kulon Progo,-7.8266798,110.1640846
3402,Kabupaten Bantul,-7.8846111,110.3341111
3403,Kabupaten Gunung Kidul,-8.0305091,110.6168921
3471,Kota Yogyakarta,-7.797224,110.368797
3601,Kabupaten Pandeglang,-6.314835,106.103897
3602,Kabupaten Lebak,-6.5643956,106.2522143
3603,Kabupaten Tangerang,-6.1783056,106.6318889
3604,Kabupaten Serang,-6.12009,106.150299
3671,Kota Tangerang,-6.1783056,106.6318889
3672,Kota Cilegon,-6.0169825,106.040506
3673,Kota Serang,-6.12009,106.150299
